Var1,Var2_1,Var2_2,Var2_3,Var2_4,Var2_5,Var2_6,Var2_7,Var2_8,Var2_9,Var2_10,Var2_11,Var2_12,Var2_13,Var2_14,Var2_15,Var2_16,Var2_17,Var2_18,Var2_19,Var2_20,Var2_21,Var2_22,Var2_23,Var2_24,Var2_25,Var2_26,Var2_27,Var2_28,Var2_29,Var2_30
-20,4.52940507275688,4.53505428445986,4.51929358480534,4.49775030381752,4.51198433880604,4.51115265713442,4.50496308429669,4.53701528308521,4.56303482524223,4.5548637323351,4.54225440150566,4.48836333100451,4.56223643846977,4.50938008210946,4.57210239417673,4.52958885365227,4.55816065027186,4.52669280141408,4.50034023131903,4.48468149316044,4.53270563641104,4.50861501302183,4.53141989381287,4.55239096216807,4.537941445626,4.56304324727421,4.57404825604928,4.54148970215905,4.53570154194024,4.52257648185135
-10,4.22980643308363,4.23864823041895,4.21392826585501,4.18272158009082,4.20353687781895,4.20225434157879,4.19224495185684,4.2392616389924,4.27810237532902,4.26570863794699,4.24696261085601,4.16846842074702,4.27885845541492,4.20027202591682,4.29297820538585,4.22879376478226,4.27119432736128,4.22428578647024,4.18571957261136,4.16297729436123,4.23462146784474,4.1985171259688,4.23326381042143,4.26380821887669,4.24152685707846,4.28007192424678,4.29557595045126,4.2478944331023,4.24002084799775,4.21988398088851
0,3.82209578898487,3.83465172333686,3.79973690543117,3.75895373499721,3.786412434405,3.7846059676098,3.77006790797748,3.83231238198979,3.88479323957027,3.86777630484154,3.84256378314161,3.73949664459533,3.88842562674498,3.78280328725812,3.90672986569497,3.81909489223255,3.87598186561179,3.81275891408777,3.76185612478747,3.73199776399976,3.82855004200526,3.77965215535627,3.82739443464449,3.86759129992972,3.83661361897863,3.89016150414893,3.90980776930789,3.84659863829992,3.83699964886389,3.80908952987218
10,3.32179785053251,3.33781140250432,3.2937743884053,3.24610088193868,3.27850090945559,3.27620434955996,3.25739837006782,3.33110278347293,3.39466788021094,3.37372469745379,3.3433433092263,3.22240704371184,3.40222417740925,3.27504962850163,3.42350274038738,3.31630429486078,3.38466038259579,3.30833748530294,3.24827064408881,3.21313652064325,3.32966226407872,3.27034300543553,3.32899787799576,3.37635401853555,3.33786320799391,3.40453752109155,3.42668283700905,3.35156433608553,3.34119541592171,3.30655522113805
20,2.77117385920421,2.78947352576446,2.73991113816595,2.69008615780632,2.72427388884432,2.72164740691617,2.69998524266649,2.77796989545621,2.84682969956485,2.82378470972495,2.79105483882411,2.66433297915569,2.85844414714814,2.72147376878568,2.88055602085835,2.76332027212545,2.83674688459874,2.75437046978191,2.69103748944289,2.65398614588552,2.77985512701316,2.71545840371153,2.7798492661743,2.82970029196855,2.78702021889644,2.86127339388431,2.88337559191324,2.8035501081957,2.79367423842967,2.75522143772518
30,2.22577324476201,2.244653459679,2.19443037148603,2.14742900028136,2.18000145568591,2.17727993480985,2.15484147608343,2.229241403731,2.29646943935326,2.27363294329643,2.24186540243808,2.12218155457956,2.31116902778136,2.17813060534436,2.33183916517894,2.21633529576998,2.28740652341416,2.2072749044894,2.14704589599846,2.11167536830701,2.23450897009354,2.1713915724453,2.23513123343421,2.28238759888783,2.23980863451122,2.31433218008319,2.33394603057532,2.25755915434939,2.24923807509893,2.2107360065059
40,1.73354090344369,1.75140757813913,1.704804481147,1.66408694876999,1.69260044572077,1.6900055970124,1.6687315245453,1.73383659413478,1.79394657765936,1.77324246574377,1.74501021031833,1.64135513085097,1.81010108788154,1.69165924181629,1.82774128808977,1.72357696215638,1.78657915186597,1.71517131059994,1.66260774042425,1.63149591243823,1.74167001264488,1.68486882628028,1.74273628827529,1.78372400015103,1.74487593851944,1.81335747873181,1.82901522923374,1.76216938282915,1.75591175880587,1.72056117678073
50,1.32129641521826,1.33711403720897,1.29669186376184,1.26362287778885,1.28703547867429,1.2847145403934,1.26586072604617,1.31921048638938,1.36944012421439,1.35191652103788,1.32847064736872,1.24442671195644,1.38545421782599,1.28683536997982,1.39946549517652,1.3117301035228,1.36392898793041,1.30443546737604,1.26145418131081,1.23571121790272,1.32842124545004,1.28051959638699,1.329702421962,1.36288553093265,1.32980238441037,1.38858572595845,1.39999532486623,1.34543210134592,1.34119758341204,1.31082753573622
60,0.994464829856679,1.00782291049231,0.974388638827952,0.948708452810939,0.967099799664809,0.965115337323296,0.949180224804931,0.990944374426541,1.03096700163035,1.01683924408723,0.998275162379429,0.933199698440076,1.04572473919164,0.967394171804356,1.05628568744088,0.985874027501819,1.02711199936634,0.97983308608148,0.946241577787377,0.925808338163471,1.00045383600874,0.961843968702231,1.00176142151753,1.02733495319378,1.00050364239906,1.04858464529853,1.05626454027588,1.01389133299631,1.01131850019664,0.986418436189642
70,0.744686997667782,0.755626678644106,0.728808571597228,0.709425054742184,0.723474161375251,0.721826332377671,0.708765676206276,0.740525452312611,0.77145630545202,0.760418564165687,0.74616331130309,0.697240120331577,0.78439875611561,0.724045978081038,0.79207959593791,0.737310831130074,0.768906525792261,0.732456307467793,0.706945489747484,0.691134995323497,0.749589526363538,0.719349631166164,0.750805648244921,0.769882919695513,0.748801534264973,0.78691724803297,0.791709598857447,0.75986658916532,0.758506083067389,0.73869563940569
