Time,Channel A,Channel B
(s),(V),(V)

-10.00040054,3.14493300,0.00000000
-10.00020054,3.10068100,0.00000000
-10.00000054,3.14493300,0.00000000
-9.99980054,3.10068100,0.00000000
-9.99960054,3.10068100,0.00000000
-9.99940054,3.10068100,0.00000000
-9.99920054,3.10068100,0.00000000
-9.99900054,3.10068100,0.00000000
-9.99880054,3.10068100,0.00000000
-9.99860054,3.10068100,0.00000000
-9.99840054,3.14493300,0.00000000
-9.99820054,3.10068100,0.00000000
-9.99800054,3.14493300,0.00000000
-9.99780054,3.10068100,0.00000000
-9.99760054,3.14493300,0.00000000
-9.99740054,3.10068100,0.00000000
-9.99720054,3.10068100,0.00000000
-9.99700054,3.14493300,0.00000000
-9.99680054,3.10068100,0.00000000
-9.99660054,3.14493300,0.00000000
-9.99640054,3.10068100,0.00000000
-9.99620054,3.14493300,0.00000000
-9.99600054,3.14493300,0.00000000
-9.99580054,3.10068100,0.00000000
-9.99560054,3.10068100,0.00000000
-9.99540054,3.10068100,0.00000000
-9.99520054,3.10068100,0.00000000
-9.99500054,3.14493300,0.00000000
-9.99480054,3.14493300,0.00000000
-9.99460054,3.10068100,0.00000000
-9.99440054,3.14493300,0.00000000
-9.99420054,3.14493300,0.00000000
-9.99400054,3.10068100,0.00000000
-9.99380054,3.10068100,0.00000000
-9.99360054,3.10068100,0.00000000
-9.99340054,3.10068100,0.00000000
-9.99320054,3.10068100,0.00000000
-9.99300054,3.10068100,0.00000000
-9.99280054,3.10068100,0.00000000
-9.99260054,3.14493300,0.00000000
-9.99240054,3.10068100,0.00000000
-9.99220054,3.10068100,0.00000000
-9.99200054,3.10068100,0.00000000
-9.99180054,3.10068100,0.00000000
-9.99160054,3.10068100,0.00000000
-9.99140054,3.10068100,0.00000000
-9.99120054,3.10068100,0.00000000
-9.99100054,3.10068100,0.00000000
-9.99080054,3.10068100,0.00000000
-9.99060054,3.10068100,0.00000000
-9.99040054,3.14493300,0.00000000
-9.99020054,3.10068100,0.00000000
-9.99000054,3.10068100,0.00000000
-9.98980054,3.14493300,0.00000000
-9.98960054,3.14493300,0.00000000
-9.98940054,3.14493300,0.00000000
-9.98920054,3.14493300,0.00000000
-9.98900054,3.10068100,0.00000000
-9.98880054,3.14493300,0.00000000
-9.98860054,3.10068100,0.00000000
-9.98840054,3.10068100,0.00000000
-9.98820054,3.14493300,0.00000000
-9.98800054,3.10068100,0.00000000
-9.98780054,3.10068100,0.00000000
-9.98760054,3.14493300,0.00000000
-9.98740054,3.10068100,0.00000000
-9.98720054,3.10068100,0.00000000
-9.98700054,3.10068100,0.00000000
-9.98680054,3.10068100,0.00000000
-9.98660054,3.10068100,0.00000000
-9.98640054,3.10068100,0.00000000
-9.98620054,3.14493300,0.00000000
-9.98600054,3.10068100,0.00000000
-9.98580054,3.10068100,0.00000000
-9.98560054,3.10068100,0.00000000
-9.98540054,3.14493300,0.00000000
-9.98520054,3.14493300,0.00000000
-9.98500054,3.10068100,0.00000000
-9.98480054,3.10068100,0.00000000
-9.98460054,3.14493300,0.00000000
-9.98440054,3.10068100,0.00000000
-9.98420054,3.10068100,0.00000000
